Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
list_dashboard,Chrome 75.0.3770.142,,,2019-07-19 13:03:23,2019-07-19 13:13:10,9m - 47.286s,INCOMPLETE
,,,,,,,
Test Cases/ARMORConfiguration,Chrome 75.0.3770.142,Test all interfunction,,2019-07-19 13:03:23,2019-07-19 13:04:20,56.280s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-19 13:03:26,2019-07-19 13:03:38,12.442s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-19 13:03:38,2019-07-19 13:03:39,1.222s,PASSED
"navigateToUrl(""http://192.168.42.162/en-us/login/"")",Chrome 75.0.3770.142,,,2019-07-19 13:03:39,2019-07-19 13:03:41,1.371s,PASSED
"setText(findTestObject(""Object Repository/ARMORConfiguration/Page_ ARMOR/input_Login_username""), ""admin"")",Chrome 75.0.3770.142,,,2019-07-19 13:03:41,2019-07-19 13:03:41,0.790s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ARMORConfiguration/Page_ ARMOR/input_Login_password""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 75.0.3770.142,,,2019-07-19 13:03:41,2019-07-19 13:03:42,0.501s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ ARMOR/button_Login""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:03:42,2019-07-19 13:03:42,0.042s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:03:42,2019-07-19 13:03:56,13.728s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/a_Configuration""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:03:56,2019-07-19 13:03:56,0.088s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:03:56,2019-07-19 13:03:57,0.961s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/a_Host Server Configurations""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:03:57,2019-07-19 13:03:57,0.021s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:03:57,2019-07-19 13:03:57,0.534s,PASSED
waitForJQueryLoad(20),Chrome 75.0.3770.142,,,2019-07-19 13:03:57,2019-07-19 13:03:57,0.021s,PASSED
delay(1),Chrome 75.0.3770.142,,,2019-07-19 13:03:57,2019-07-19 13:03:58,0.908s,PASSED
"setText(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/input_Hostname_hostname""), ""armor-computex1"")",Chrome 75.0.3770.142,,,2019-07-19 13:03:58,2019-07-19 13:03:59,0.532s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/a_Upload Logo""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:03:59,2019-07-19 13:03:59,0.039s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:03:59,2019-07-19 13:03:59,0.680s,PASSED
waitForJQueryLoad(20),Chrome 75.0.3770.142,,,2019-07-19 13:03:59,2019-07-19 13:03:59,0.081s,PASSED
delay(1),Chrome 75.0.3770.142,,,2019-07-19 13:03:59,2019-07-19 13:04:00,0.904s,PASSED
"sendKeys(findTestObject(""Object Repository/ARMORConfiguration/HostServer/input_Browse _uploadfp""), ""C:\myWork\logo\test.png"")",Chrome 75.0.3770.142,,,2019-07-19 13:04:00,2019-07-19 13:04:01,0.400s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/a_Upload""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:01,2019-07-19 13:04:01,0.078s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:01,2019-07-19 13:04:02,0.991s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-19 13:04:02,2019-07-19 13:04:05,2.703s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/button_Close""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:05,2019-07-19 13:04:05,0.043s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:05,2019-07-19 13:04:13,7.989s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/HostServer/close""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:13,2019-07-19 13:04:13,0.020s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:13,2019-07-19 13:04:18,5.824s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORConfiguration/Page_ARMOR/a_Configuration""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:18,2019-07-19 13:04:18,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:18,2019-07-19 13:04:20,1.154s,FAILED
,,,,,,,
Test Cases/ARMORDashboard,Chrome 75.0.3770.142,,,2019-07-19 13:04:20,2019-07-19 13:13:10,8m - 50.344s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-19 13:04:20,2019-07-19 13:04:26,5.443s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-19 13:04:26,2019-07-19 13:04:27,1.329s,PASSED
